scenario_id,target_name,pair_type,component_i,component_j,family_i,family_j,batch_i,batch_j,proxy_score,gate,attention,pair_strength,target_true
train_12,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_22,Детергент,Противоизносная,03052.24,скай кемикалс,6.221158981323242,0.9904819130897522,1.0,6.280941486358643,83.37
train_17,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_8,Детергент,Противоизносная,01558.25,Квадрат плюс ДТФ-22,5.067931175231934,0.9875661134719849,1.0,5.131738662719727,76.37
train_167,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_7,Детергент,Противоизносная,01558.25,НовочебоксарскХП,4.9894609451293945,0.9865227341651917,1.0,5.057623863220215,41.93
train_146,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_16,Детергент,Противоизносная,03052.24,из ЦП 21.03.23,4.5699872970581055,0.9741487503051758,1.0,4.691262245178223,65.64
train_162,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_6,Детергент,Противоизносная,0432.25,01036.25,3.8862245082855225,0.9773203134536743,1.0,3.9764082431793213,70.33
train_163,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_6,Детергент,Противоизносная,9521.25,01036.25,3.8740763664245605,0.9726085662841797,1.0,3.9831814765930176,76.57
train_164,oxidation,zddp_detergent,Детергент_1,Противоизносная_присадка_6,Детергент,Противоизносная,9521.25,01036.25,3.8740763664245605,0.9726085662841797,1.0,3.9831814765930176,127.51
train_93,oxidation,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_7,Дисперсант,Противоизносная,01025.23,02359.22,3.2671666145324707,0.9605501294136047,0.8220758438110352,4.137512683868408,89.03
train_123,oxidation,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_7,Дисперсант,Противоизносная,01025.23,02359.22,2.176318883895874,0.9248202443122864,0.6204060316085815,3.7930550575256348,65.59
train_124,oxidation,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_7,Дисперсант,Противоизносная,01025.23,02359.22,2.1311254501342773,0.9256488084793091,0.6007351875305176,3.8324782848358154,79.18
train_122,oxidation,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_7,Дисперсант,Противоизносная,01025.23,02359.22,2.1095478534698486,0.9257923364639282,0.5943751335144043,3.8336739540100098,69.1
train_51,oxidation,ao_ao,Антиоксидант_7,Антиоксидант_8,Антиоксидант,Антиоксидант,п.EQ2023082507,COMP-2024-0009-M,1.8819957971572876,0.8668482303619385,0.8256387710571289,2.629574775695801,86.06
train_140,oxidation,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_7,Дисперсант,Противоизносная,01025.23,02359.22,1.6984397172927856,0.8951547741889954,0.44340911507606506,4.279050350189209,122.71
train_139,oxidation,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_7,Дисперсант,Противоизносная,01025.23,02359.22,1.6984397172927856,0.8951547741889954,0.44340911507606506,4.279050350189209,134.0
train_141,oxidation,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_7,Дисперсант,Противоизносная,01025.23,02359.22,1.6984397172927856,0.8951547741889954,0.44340911507606506,4.279050350189209,134.08
train_20,oxidation,antiwear_ca_mg,Базовое_масло_3,Противоизносная_присадка_8,Базовое,Противоизносная,0415.22,0186.22,1.654723882675171,0.9232614040374756,0.5313464403152466,3.3730523586273193,97.66
